algo,reward,seed,flow,cycle_num,queue_length
dqn,wait-clip,s123,high,8,5.0
dqn,wait-clip,s123,high,9,3.090909090909091
dqn,wait-clip,s123,high,10,4.636363636363637
dqn,wait-clip,s123,high,11,3.9166666666666665
dqn,wait-clip,s123,high,12,3.6666666666666665
dqn,wait-clip,s123,high,13,3.272727272727273
dqn,wait-clip,s123,high,14,3.6923076923076925
dqn,wait-clip,s123,high,15,4.6
dqn,wait-clip,s123,high,16,4.846153846153846
dqn,wait-clip,s123,high,17,3.8181818181818183
dqn,wait-clip,s123,high,18,3.909090909090909
dqn,wait-clip,s123,high,19,4.0
dqn,wait-clip,s123,high,20,5.090909090909091
dqn,wait-clip,s123,high,21,5.583333333333333
dqn,wait-clip,s123,high,22,2.3
dqn,wait-clip,s123,high,23,2.9285714285714284
dqn,wait-clip,s123,high,24,2.9285714285714284
dqn,wait-clip,s123,high,25,3.857142857142857
dqn,wait-clip,s123,high,26,5.166666666666667
dqn,wait-clip,s123,high,27,4.916666666666667
dqn,wait-clip,s123,high,28,4.4
dqn,wait-clip,s123,high,29,6.461538461538462
dqn,wait-clip,s123,high,30,4.166666666666667
dqn,wait-clip,s123,high,31,3.7
dqn,wait-clip,s123,high,32,2.2666666666666666
dqn,wait-clip,s123,high,33,3.4166666666666665
dqn,wait-clip,s123,high,34,4.166666666666667
dqn,wait-clip,s123,high,35,4.363636363636363
dqn,wait-clip,s123,high,36,3.466666666666667
dqn,wait-clip,s123,high,37,2.4375
dqn,wait-clip,s123,high,38,3.8181818181818183
dqn,wait-clip,s123,high,39,3.4545454545454546
dqn,wait-clip,s123,high,40,4.714285714285714
dqn,wait-clip,s123,high,41,4.933333333333334
dqn,wait-clip,s123,high,42,3.6363636363636362
dqn,wait-clip,s123,high,43,3.5
dqn,wait-clip,s123,high,44,4.384615384615385
dqn,wait-clip,s123,high,45,4.181818181818182
dqn,wait-clip,s123,high,46,3.0
dqn,wait-clip,s123,high,47,4.461538461538462
dqn,wait-clip,s123,high,48,4.666666666666667
dqn,wait-clip,s123,high,49,3.1666666666666665
dqn,wait-clip,s123,high,50,5.615384615384615
dqn,wait-clip,s123,high,51,4.6923076923076925
dqn,wait-clip,s123,high,52,6.3076923076923075
dqn,wait-clip,s123,high,53,5.3076923076923075
dqn,wait-clip,s123,high,54,1.6363636363636365
dqn,wait-clip,s123,high,55,1.875
dqn,wait-clip,s123,medium,0,0.8571428571428571
dqn,wait-clip,s123,medium,1,1.6923076923076923
dqn,wait-clip,s123,medium,2,1.375
dqn,wait-clip,s123,medium,3,2.6666666666666665
dqn,wait-clip,s123,medium,4,2.25
dqn,wait-clip,s123,medium,5,1.2307692307692308
dqn,wait-clip,s123,medium,6,3.3
dqn,wait-clip,s123,medium,7,2.642857142857143
dqn,wait-clip,s123,medium,8,2.923076923076923
dqn,wait-clip,s123,medium,9,2.5
dqn,wait-clip,s123,medium,10,3.533333333333333
dqn,wait-clip,s123,medium,11,1.9090909090909092
dqn,wait-clip,s123,medium,12,1.2857142857142858
dqn,wait-clip,s123,medium,13,3.375
dqn,wait-clip,s123,medium,14,2.272727272727273
dqn,wait-clip,s123,medium,15,1.5
dqn,wait-clip,s123,medium,16,2.5
dqn,wait-clip,s123,medium,17,2.7857142857142856
dqn,wait-clip,s123,medium,18,2.8461538461538463
dqn,wait-clip,s123,medium,19,2.142857142857143
dqn,wait-clip,s123,medium,20,3.8181818181818183
dqn,wait-clip,s123,medium,21,2.6
dqn,wait-clip,s123,medium,22,2.2
dqn,wait-clip,s123,medium,23,3.3076923076923075
dqn,wait-clip,s123,medium,24,3.1875
dqn,wait-clip,s123,medium,25,2.5714285714285716
dqn,wait-clip,s123,medium,26,2.4615384615384617
dqn,wait-clip,s123,medium,27,2.7333333333333334
dqn,wait-clip,s123,medium,28,2.6
dqn,wait-clip,s123,medium,29,1.6666666666666667
dqn,wait-clip,s123,medium,30,2.2142857142857144
dqn,wait-clip,s123,medium,31,4.153846153846154
dqn,wait-clip,s123,medium,32,3.2
dqn,wait-clip,s123,medium,33,1.8181818181818181
dqn,wait-clip,s123,medium,34,2.375
dqn,wait-clip,s123,medium,35,2.1818181818181817
dqn,wait-clip,s123,medium,36,2.2
dqn,wait-clip,s123,medium,37,2.6666666666666665
dqn,wait-clip,s123,medium,38,2.230769230769231
dqn,wait-clip,s123,medium,39,2.375
dqn,wait-clip,s123,medium,40,0.9166666666666666
dqn,wait-clip,s123,medium,41,2.2
dqn,wait-clip,s123,medium,42,1.9166666666666667
dqn,wait-clip,s123,medium,43,2.3076923076923075
dqn,wait-clip,s123,medium,44,1.2727272727272727
dqn,wait-clip,s123,medium,45,2.5384615384615383
dqn,wait-clip,s123,medium,46,3.4285714285714284
dqn,wait-clip,s123,medium,47,2.5
dqn,wait-clip,s123,medium,48,2.3846153846153846
dqn,wait-clip,s123,medium,49,2.2142857142857144
dqn,wait-clip,s123,medium,50,2.5833333333333335
dqn,wait-clip,s123,medium,51,3.5
dqn,wait-clip,s123,medium,52,2.4285714285714284
dqn,wait-clip,s123,medium,53,2.25
dqn,wait-clip,s123,medium,54,2.466666666666667
dqn,wait-clip,s123,medium,55,1.8571428571428572
dqn,wait-clip,s123,low,0,0.7142857142857143
dqn,wait-clip,s123,low,1,1.3571428571428572
dqn,wait-clip,s123,low,2,0.7857142857142857
dqn,wait-clip,s123,low,3,1.0
dqn,wait-clip,s123,low,4,0.625
dqn,wait-clip,s123,low,5,1.0
dqn,wait-clip,s123,low,6,0.5384615384615384
dqn,wait-clip,s123,low,7,0.9411764705882353
dqn,wait-clip,s123,low,8,0.8
dqn,wait-clip,s123,low,9,1.6
